name,latitude,longitude,stars,review_count
burgerworks,53.5426345,-113.3111322,3.5,17
golden capital restaurant,53.5126039502,-113.3179124712,3.5,8
five guys,53.5126210396,-113.3219998596,4.0,37
dimaggio's restaurant,53.5418157,-113.3189567,2.5,12
fresh healthy cafe,53.5568884242,-113.2741134955,3.5,8
a&w,53.5415746113,-113.3188727252,3.0,8
farm to fork eatery,53.5610335,-113.3188545,3.5,10
joeys urban,53.531681,-113.292961,4.5,7
polos social lounge,53.5579539459,-113.2708916795,3.0,21
wendy's,53.51163758,-113.3195885271,2.0,8
red robin gourmet burgers and brews,53.5658816,-113.2739209,2.5,38
earls kitchen + bar,53.511678,-113.322023,3.5,43
life italian restaurant,53.5562185,-113.3164387,3.5,12
mucho burrito,53.5420127788,-113.3176381004,2.5,16
the soup and sandwich,53.5639992,-113.3190176,4.5,8
that bbq place,53.5566879,-113.3173376,4.0,56
donair & shawarma house,53.5377092,-113.3222335,4.5,12
chopped leaf,53.5132312681,-113.3181294412,4.0,6
boston pizza,53.5451227804,-113.3193096042,3.5,25
panda express,53.5673970279,-113.2804788893,3.5,14
hunter's social grill,53.540740623,-113.3215372585,2.5,14
memphis blues barbeque house,53.54232,-113.316239,4.0,48
no way jose's taqueria,53.5428069856,-113.311175108,3.0,8
the purple perogy,53.5131992,-113.3217464,4.5,6
ruamit thai restaurant,53.5151546,-113.2943522,3.0,14
sherwood nitzza deluxe pizza pasta & donair,53.538887,-113.294631,5.0,7
nitza's pizza,53.5130008,-113.2574946,4.0,40
kinsmen leisure centre,53.5257195235,-113.308256865,3.0,9
opa! of greece emerald hills,53.5658455325,-113.2738844028,4.5,5
tim hortons,53.5126003497,-113.2738934494,3.5,9
cafe celeste,53.5429249,-113.3113698,4.5,17
taste of india express,53.5287010361,-113.2893558486,4.5,26
the chopped leaf,53.5424258336,-113.31753332,3.5,30
swiss chalet,53.5416257928,-113.2993274712,2.5,7
royal pizza,53.5424706732,-113.2668733034,4.0,14
gregg mediterranean restaurant,53.5339731,-113.3208941,4.0,27
toast,53.5420415,-113.3108955,4.0,14
willy's restaurant and lounge,53.5671950787,-113.2695804443,3.5,8
golden 88 restaurant,53.5387845,-113.2943812,4.0,6
brentwood food & convenience,53.523995,-113.295522,4.0,5
cora breakfast and lunch,53.5423143743,-113.3193202993,3.5,28
press'd the sandwich company,53.5677128816,-113.2837287853,3.5,7
viet's taste,53.5568332,-113.2739086,5.0,5
wild wing,53.5131992,-113.3217464,3.5,24
fatburger,53.542001,-113.316408,3.5,10
denny's,53.5670407701,-113.317978,3.0,10
papa murphy,53.565279186,-113.2718147644,3.5,7
mongolian indulgence,53.5421475455,-113.3123797502,3.5,8
shoeless joe's sports grill - sherwood park,53.5380119,-113.3215277,3.5,21
the canadian brewhouse,53.54212,-113.31294,3.0,29
pho,53.5566879,-113.3173376,2.0,9
mr mikes steakhouse & bar,53.5603078,-113.3146816,2.5,6
common ground,53.5145235161,-113.2949945245,4.5,12
tilted kilt pub & eatery,53.5403074,-113.3218074,3.0,19
sherlock holmes,53.5378364585,-113.3213495558,3.0,6
sawaddee thai cuisine,53.5129261,-113.2741421,4.0,22
ihop,53.5131782413,-113.3217907127,2.5,12
denny's,53.54048,-113.32071,2.5,24
via cibo,53.5416801344,-113.3182189241,3.5,43
smashburger,53.5676412998,-113.2834652006,3.5,46
pizza hut,53.5419127,-113.3120415,3.0,6
barburrito - sherwood park,53.5414392782,-113.29425505,4.0,6
state & main kitchen & bar,53.542391,-113.266102,3.0,24
branches fresh food experience,53.573921,-113.2751,4.0,44
red swan pizza,53.5422104651,-113.3083430597,4.5,9
mcdonald's,53.541622,-113.264838,2.5,6
a taste of vietnam,53.5403301427,-113.3229174839,3.5,27
wally's burger & bistro,53.542628,-113.311104,2.5,9
dairy queen,53.5417556,-113.2902121,4.0,5
noodlebox,53.542166,-113.316634,4.0,36
square one wye road,53.5138191,-113.3221828,3.0,21
tim hortons,53.5346271112,-113.2962500908,2.0,8
sky high burgers,53.5564273,-113.3170169,3.0,12
buffet royale carvery,53.5134385457,-113.3318048268,2.5,21
ricky's all day grill,53.5125786768,-113.3183490324,2.5,13
good buddy dim sum chinese restaurant,53.5355719003,-113.3207389604,4.0,29
ric's grill,53.5417198,-113.267513,3.0,15
browns socialhouse salisbury gate,53.5116277455,-113.3068594361,3.5,18
yoshi japanese restaurant,53.5237766,-113.2955282,4.0,33
popeyes louisiana kitchen,53.5680913,-113.2879067,2.5,7
cafe haven,53.5340137,-113.3205535,4.0,47
saigon cuisine,53.537799,-113.323928,4.0,13
mcdonald's,53.5390187227,-113.3207000233,2.5,5
sawmill,53.5271568892,-113.2943577396,2.5,32
forza! pasta bar,53.5131425624,-113.2737912285,4.0,6
blue rare steak & bar,53.5423350589,-113.2687540559,3.0,17
the keg steakhouse + bar - sherwood park,53.56809,-113.28649,3.5,20
roma pizza and donair,53.5125647,-113.3272846,4.0,10
rosie's in the park,53.5366506123,-113.3224024354,3.0,13
mexico lindo tacos & grill,53.5611996639,-113.3187842447,4.0,58
i dream of pizza,53.53759,-113.322204,4.0,15
jepama's pizza,53.5563023184,-113.3178096688,3.5,5
social grounds coffeehouse,53.5403345016,-113.3219824274,4.5,9
tony roma's,53.5682177123,-113.2815883942,2.0,8
suda thai cuisine,53.5570327553,-113.3190875654,4.5,5
caffrey's,53.5115215,-113.3319309,3.5,24
boston pizza,53.5130621,-113.3294241,3.5,26
pasta pantry & trattoria,53.5290211641,-113.289644867,4.0,59
bleu flames,53.5551602567,-113.293742256,3.5,5
vicky's bistro wine bar,53.5265289196,-113.2975786398,3.5,29
casa12doce,53.536618596,-113.3207247357,4.0,18
delicious pho,53.542796,-113.319514,3.5,23
montana's,53.5335219,-113.2948645,2.5,28
hui's wontons,53.543267,-113.313069,3.0,13
mcdonald's,53.5674431785,-113.2816556539,2.0,6
tim hortons,53.5662580795,-113.3190367049,3.0,5
burrito libre,53.528555,-113.294877,4.0,23
japanese village sherwood park,53.5381784,-113.3218554,4.5,14
tutti frutti breakfast and lunch,53.5566218432,-113.3189056889,3.5,29
